Route Number,Total Trains in Route,Segment Number,Train Number,Train Name,From Station,Departure Time,To Station,Arrival Time,Segment Distance (km),Segment Duration (hrs),Seat Availability,Waiting Time Before Segment (hrs),Total Route Distance (km),Total Route Duration,Estimated Cost (₹)
33,3,3,13237,PNBE- KOTA,DNR,12:04:00,KOTA,12:55:00,1236.0,20.6,1,5.82,4635.0,89h 3m,4635.0
34,3,1,12522,RAPTI SAGAR,PGT,14:05:00,BJU,22:50:00,3285.0,56.64,1,0.0,4588.0,88h 16m,4588.0
34,3,2,13205,SHC-DNR JANH,BJU,01:50:00,DNR,06:15:00,114.0,3.0,0,3.0,4588.0,88h 16m,4588.0
34,3,3,13239,PNBE-KOTA EX,DNR,12:04:00,KOTA,12:55:00,1189.0,19.82,1,5.82,4588.0,88h 16m,4588.0
35,3,1,12522,RAPTI SAGAR,PGT,14:05:00,BJU,22:50:00,3285.0,56.64,1,0.0,5235.0,112h 17m,5235.0
35,3,2,14523,MFP-UMB EXPR,BJU,05:00:00,UMB,07:55:00,1295.0,21.58,1,6.17,5235.0,112h 17m,5235.0
35,3,3,19806,UHP-KOTA WEE,UMB,23:55:00,KOTA,11:10:00,655.0,11.91,1,16.0,5235.0,112h 17m,5235.0
36,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3414.0,91h 1m,3414.0
36,3,2,11901,MTJ-KKDE EXP,NDLS,08:45:00,KKDE,12:40:00,157.0,3.49,1,19.0,3414.0,91h 1m,3414.0
36,3,3,19806,UHP-KOTA WEE,KKDE,00:28:00,KOTA,11:10:00,614.0,11.16,1,11.8,3414.0,91h 1m,3414.0
37,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3696.0,72h 19m,3696.0
37,3,2,12034,NDLS CNB SHA,NDLS,15:50:00,CNB,20:45:00,430.0,8.6,1,2.08,3696.0,72h 19m,3696.0
37,3,3,13237,PNBE- KOTA,CNB,01:30:00,KOTA,12:55:00,623.0,11.33,1,4.75,3696.0,72h 19m,3696.0
38,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3696.0,72h 19m,3696.0
38,3,2,12034,NDLS CNB SHA,NDLS,15:50:00,CNB,20:45:00,430.0,8.6,1,2.08,3696.0,72h 19m,3696.0
38,3,3,13239,PNBE-KOTA EX,CNB,01:30:00,KOTA,12:55:00,623.0,11.33,1,4.75,3696.0,72h 19m,3696.0
39,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3756.0,100h 29m,3756.0
39,3,2,12037,NDLS-LDH SHA,NDLS,07:00:00,LDH,12:25:00,328.0,6.56,1,17.25,3756.0,100h 29m,3756.0
39,3,3,19804,SVDK-KOTA WE,LDH,05:15:00,KOTA,23:50:00,785.0,14.27,0,16.83,3756.0,100h 29m,3756.0
40,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3740.0,92h 46m,3740.0
