Route Number,Total Trains in Route,Segment Number,Train Number,Train Name,From Station,Departure Time,To Station,Arrival Time,Segment Distance (km),Segment Duration (hrs),Seat Availability,Waiting Time Before Segment (hrs),Total Route Distance (km),Total Route Duration,Estimated Cost (₹)
129,4,4,59814,JAB-KOTA PAS,BXN,10:50:00,KOTA,17:15:00,244.0,5.42,0,21.92,3388.0,86h 10m,3388.0
130,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,4195.0,116h 19m,4195.0
130,4,2,11123,BARAUNI-GWL,GKP,05:05:00,GWL,20:55:00,658.0,11.96,1,13.75,4195.0,116h 19m,4195.0
130,4,3,51884,BIN-GWL PASS,GWL,08:30:00,BINA,17:45:00,345.0,6.9,1,11.58,4195.0,116h 19m,4195.0
130,4,4,51612,BINA-KOTA PA,BINA,10:00:00,KOTA,18:50:00,303.0,6.06,1,16.25,4195.0,116h 19m,4195.0
131,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,4753.0,124h 9m,4753.0
131,4,2,12555,GORAKHDHAM E,GKP,16:35:00,HSR,10:00:00,952.0,17.31,0,1.25,4753.0,124h 9m,4753.0
131,4,3,54044,HSR-JIND PAS,HSR,05:00:00,JIND,14:50:00,327.0,6.54,1,19.0,4753.0,124h 9m,4753.0
131,4,4,19804,SVDK-KOTA WE,JIND,10:27:00,KOTA,23:50:00,585.0,10.64,0,19.62,4753.0,124h 9m,4753.0
132,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,4711.0,102h 57m,4711.0
132,4,2,12555,GORAKHDHAM E,GKP,16:35:00,HSR,10:00:00,952.0,17.31,0,1.25,4711.0,102h 57m,4711.0
132,4,3,54631,DUI JHL HSR,HSR,18:10:00,DUI,21:35:00,147.0,3.87,1,8.17,4711.0,102h 57m,4711.0
132,4,4,19804,SVDK-KOTA WE,DUI,07:00:00,KOTA,23:50:00,723.0,13.15,0,9.42,4711.0,102h 57m,4711.0
133,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,4784.0,119h 20m,4784.0
133,4,2,19602,NJP UDZ EXPR,GKP,22:10:00,UDZ,03:55:00,1498.0,24.97,1,6.83,4784.0,119h 20m,4784.0
133,4,3,59836,UDZ-NMH PASS,UDZ,14:15:00,NMH,20:05:00,169.0,3.76,0,10.33,4784.0,119h 20m,4784.0
133,4,4,29019,NMH - KOTA E,NMH,14:40:00,KOTA,18:45:00,228.0,5.07,1,18.58,4784.0,119h 20m,4784.0
134,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,4783.0,103h 9m,4783.0
134,4,2,19602,NJP UDZ EXPR,GKP,22:10:00,UDZ,03:55:00,1498.0,24.97,1,6.83,4783.0,103h 9m,4783.0
134,4,3,59836,UDZ-NMH PASS,UDZ,14:15:00,NMH,20:05:00,169.0,3.76,0,10.33,4783.0,103h 9m,4783.0
134,4,4,59834,NMH-KOTA FAS,NMH,22:30:00,KOTA,04:45:00,227.0,5.04,1,2.42,4783.0,103h 9m,4783.0
135,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,126h 9m,3911.0
135,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,126h 9m,3911.0
135,4,3,54794,MTJ-SWM PASS,MTJ,14:00:00,SWM,19:45:00,212.0,4.71,0,16.5,3911.0,126h 9m,3911.0
135,4,4,12060,KOTA JANSHTB,SWM,18:07:00,KOTA,20:00:00,108.0,2.84,1,22.37,3911.0,126h 9m,3911.0
136,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,119h 2m,3911.0
136,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,119h 2m,3911.0
136,4,3,54794,MTJ-SWM PASS,MTJ,14:00:00,SWM,19:45:00,212.0,4.71,0,16.5,3911.0,119h 2m,3911.0
136,4,4,13237,PNBE- KOTA,SWM,11:00:00,KOTA,12:55:00,108.0,2.84,1,15.25,3911.0,119h 2m,3911.0
137,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,119h 2m,3911.0
137,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,119h 2m,3911.0
137,4,3,54794,MTJ-SWM PASS,MTJ,14:00:00,SWM,19:45:00,212.0,4.71,0,16.5,3911.0,119h 2m,3911.0
137,4,4,13239,PNBE-KOTA EX,SWM,11:00:00,KOTA,12:55:00,108.0,2.84,1,15.25,3911.0,119h 2m,3911.0
138,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3910.0,105h 21m,3910.0
138,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3910.0,105h 21m,3910.0
138,4,3,54794,MTJ-SWM PASS,MTJ,14:00:00,SWM,19:45:00,212.0,4.71,0,16.5,3910.0,105h 21m,3910.0
138,4,4,19804,SVDK-KOTA WE,SWM,21:20:00,KOTA,23:50:00,107.0,2.82,0,1.58,3910.0,105h 21m,3910.0
139,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3910.0,117h 28m,3910.0
139,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3910.0,117h 28m,3910.0
139,4,3,54794,MTJ-SWM PASS,MTJ,14:00:00,SWM,19:45:00,212.0,4.71,0,16.5,3910.0,117h 28m,3910.0
139,4,4,19806,UHP-KOTA WEE,SWM,09:27:00,KOTA,11:10:00,107.0,2.82,1,13.7,3910.0,117h 28m,3910.0
140,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,111h 12m,3911.0
140,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,111h 12m,3911.0
140,4,3,54794,MTJ-SWM PASS,MTJ,14:00:00,SWM,19:45:00,212.0,4.71,0,16.5,3911.0,111h 12m,3911.0
140,4,4,19808,JP-KOTA EXP,SWM,03:10:00,KOTA,05:20:00,108.0,2.84,1,7.42,3911.0,111h 12m,3911.0
141,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,115h 57m,3911.0
141,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,115h 57m,3911.0
141,4,3,54794,MTJ-SWM PASS,MTJ,14:00:00,SWM,19:45:00,212.0,4.71,0,16.5,3911.0,115h 57m,3911.0
141,4,4,22982,KOTA-HMH -KO,SWM,07:55:00,KOTA,09:50:00,108.0,2.84,1,12.17,3911.0,115h 57m,3911.0
142,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3910.0,122h 1m,3910.0
142,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3910.0,122h 1m,3910.0
142,4,3,54794,MTJ-SWM PASS,MTJ,14:00:00,SWM,19:45:00,212.0,4.71,0,16.5,3910.0,122h 1m,3910.0
142,4,4,59814,JAB-KOTA PAS,SWM,14:00:00,KOTA,17:15:00,107.0,2.82,0,18.25,3910.0,122h 1m,3910.0
143,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3940.0,127h 55m,3940.0
143,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3940.0,127h 55m,3940.0
143,4,3,55341,KSJ-BTE PASS,MTJ,20:50:00,BTE,23:00:00,62.0,1.63,1,23.33,3940.0,127h 55m,3940.0
143,4,4,12060,KOTA JANSHTB,BTE,15:50:00,KOTA,20:00:00,287.0,6.38,1,16.83,3940.0,127h 55m,3940.0
144,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3939.0,120h 18m,3939.0
144,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3939.0,120h 18m,3939.0
144,4,3,55341,KSJ-BTE PASS,MTJ,20:50:00,BTE,23:00:00,62.0,1.63,1,23.33,3939.0,120h 18m,3939.0
144,4,4,13237,PNBE- KOTA,BTE,08:15:00,KOTA,12:55:00,286.0,6.36,1,9.25,3939.0,120h 18m,3939.0
145,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3940.0,120h 20m,3940.0
145,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3940.0,120h 20m,3940.0
145,4,3,55341,KSJ-BTE PASS,MTJ,20:50:00,BTE,23:00:00,62.0,1.63,1,23.33,3940.0,120h 20m,3940.0
145,4,4,13239,PNBE-KOTA EX,BTE,08:15:00,KOTA,12:55:00,287.0,6.38,1,9.25,3940.0,120h 20m,3940.0
146,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3939.0,130h 42m,3939.0
146,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3939.0,130h 42m,3939.0
146,4,3,55341,KSJ-BTE PASS,MTJ,20:50:00,BTE,23:00:00,62.0,1.63,1,23.33,3939.0,130h 42m,3939.0
146,4,4,19804,SVDK-KOTA WE,BTE,18:39:00,KOTA,23:50:00,286.0,6.36,0,19.65,3939.0,130h 42m,3939.0
147,4,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3939.0,118h 58m,3939.0
147,4,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3939.0,118h 58m,3939.0
147,4,3,55341,KSJ-BTE PASS,MTJ,20:50:00,BTE,23:00:00,62.0,1.63,1,23.33,3939.0,118h 58m,3939.0
147,4,4,19806,UHP-KOTA WEE,BTE,06:55:00,KOTA,11:10:00,286.0,6.36,1,7.92,3939.0,118h 58m,3939.0
148,4,1,12522,RAPTI SAGAR,PGT,14:05:00,BJU,22:50:00,3285.0,56.64,1,0.0,4593.0,113h 20m,4593.0
148,4,2,13105,SDAH BUI EXP,BJU,23:55:00,BUI,06:10:00,212.0,4.71,1,1.08,4593.0,113h 20m,4593.0
148,4,3,55137,BUI - SHG  P,BUI,05:25:00,SHG,11:15:00,167.0,3.71,1,23.25,4593.0,113h 20m,4593.0
148,4,4,13237,PNBE- KOTA,SHG,18:18:00,KOTA,12:55:00,929.0,16.89,1,7.05,4593.0,113h 20m,4593.0
149,4,1,12522,RAPTI SAGAR,PGT,14:05:00,BJU,22:50:00,3285.0,56.64,1,0.0,5154.0,119h 41m,5154.0
149,4,2,15483,SIKKIM MAHAN,BJU,23:05:00,DLI,22:40:00,1090.0,18.17,1,0.25,5154.0,119h 41m,5154.0
149,4,3,54033,DELHI JIND P,DLI,17:25:00,NRW,22:25:00,160.0,3.56,1,18.75,5154.0,119h 41m,5154.0
149,4,4,19804,SVDK-KOTA WE,NRW,09:30:00,KOTA,23:50:00,619.0,11.25,0,11.08,5154.0,119h 41m,5154.0
150,4,1,12522,RAPTI SAGAR,PGT,14:05:00,BJU,22:50:00,3285.0,56.64,1,0.0,5231.0,119h 35m,5231.0
150,4,2,15483,SIKKIM MAHAN,BJU,23:05:00,DLI,22:40:00,1090.0,18.17,1,0.25,5231.0,119h 35m,5231.0
150,4,3,54035,DELHI JIND J,DLI,15:40:00,JHL,21:40:00,199.0,4.42,1,17.0,5231.0,119h 35m,5231.0
150,4,4,19804,SVDK-KOTA WE,JHL,08:50:00,KOTA,23:50:00,657.0,11.95,0,11.17,5231.0,119h 35m,5231.0
151,4,1,12522,RAPTI SAGAR,PGT,14:05:00,BJU,22:50:00,3285.0,56.64,1,0.0,4980.0,112h 6m,4980.0
151,4,2,15483,SIKKIM MAHAN,BJU,23:05:00,DLI,22:40:00,1090.0,18.17,1,0.25,4980.0,112h 6m,4980.0
151,4,3,64584,DLI-TDL MEMU,DLI,12:55:00,TDL,18:10:00,203.0,4.51,1,14.25,4980.0,112h 6m,4980.0
151,4,4,13237,PNBE- KOTA,TDL,04:25:00,KOTA,12:55:00,402.0,8.04,1,10.25,4980.0,112h 6m,4980.0
152,4,1,12522,RAPTI SAGAR,PGT,14:05:00,BJU,22:50:00,3285.0,56.64,1,0.0,4980.0,112h 6m,4980.0
152,4,2,15483,SIKKIM MAHAN,BJU,23:05:00,DLI,22:40:00,1090.0,18.17,1,0.25,4980.0,112h 6m,4980.0
152,4,3,64584,DLI-TDL MEMU,DLI,12:55:00,TDL,18:10:00,203.0,4.51,1,14.25,4980.0,112h 6m,4980.0
152,4,4,13239,PNBE-KOTA EX,TDL,04:25:00,KOTA,12:55:00,402.0,8.04,1,10.25,4980.0,112h 6m,4980.0
153,4,1,12643,NIZAMUDDIN E,PGT,21:30:00,NZM,17:10:00,2635.0,45.43,1,0.0,4536.0,120h 51m,4536.0
153,4,2,12912,HW BL SUP EX,NZM,23:35:00,BL,18:20:00,1176.0,19.6,1,6.42,4536.0,120h 51m,4536.0
153,4,3,12929,BL-DHD INTER,BL,07:15:00,DHD,13:25:00,344.0,6.88,1,12.92,4536.0,120h 51m,4536.0
153,4,4,59831,BRC-KOTA PAR,DHD,11:25:00,KOTA,22:30:00,381.0,7.62,1,22.0,4536.0,120h 51m,4536.0
